#     wavelength(A)    kappa_tot (cm2/g)     kappa_es (cm2/g)   kappa_bf+ff (cm2/g)      dummy          kappa_bb (cm2/g)        dummy               rho                 v/c              
# t = 5.5 days
    1.8230000000E+03    3.3126260376E+02    2.1134196535E-04    5.7516640647E-14    8.2729179688E+03    3.3126239014E+02    2.7876967228E-12    2.8011914255E-16    1.5385769612E-01
    1.8352500000E+03    2.8951885986E+02    2.1134196535E-04    5.8683723300E-14    2.3024876404E+02    2.8951864624E+02    3.0763102569E-12    2.8011914255E-16    1.5385769612E-01
    1.8475000000E+03    3.3432003784E+02    2.1134196535E-04    5.9865341037E-14    8.4381567383E+02    3.3431982422E+02    4.4704539549E-12    2.8011914255E-16    1.5385769612E-01
    1.8597500000E+03    9.0380859375E+02    2.1134196535E-04    6.1061568399E-14    4.3984785156E+03    9.0380834961E+02    1.5159564576E-11    2.8011914255E-16    1.5385769612E-01
    1.8720000000E+03    8.6119830322E+02    2.1134196535E-04    6.2272459596E-14    6.4510180664E+02    8.6119812012E+02    1.8061246942E-11    2.8011914255E-16    1.5385769612E-01
    1.8842500000E+03    1.2903710938E+03    2.1134196535E-04    6.3498095941E-14    1.3613979492E+04    1.2903708496E+03    3.3731430843E-11    2.8011914255E-16    1.5385769612E-01
    1.8965000000E+03    7.7497326660E+02    2.1134196535E-04    6.4738538423E-14    2.1189956055E+03    7.7497302246E+02    2.5173904628E-11    2.8011914255E-16    1.5385769612E-01
    1.9087500000E+03    5.6101702881E+02    2.1134196535E-04    6.5993861580E-14    7.1863686523E+03    5.6101684570E+02    2.2577620329E-11    2.8011914255E-16    1.5385769612E-01
    1.9210000000E+03    7.1368109131E+02    2.1134196535E-04    6.7264146726E-14    3.9044253906E+04    7.1368090820E+02    3.5478463917E-11    2.8011914255E-16    1.5385769612E-01
    1.9332500000E+03    6.9950018311E+02    2.1134196535E-04    6.8549448073E-14    2.5483187500E+04    6.9950000000E+02    4.2830395480E-11    2.8011914255E-16    1.5385769612E-01
    1.9455000000E+03    1.0242362061E+03    2.1134196535E-04    6.9849853711E-14    7.9596703125E+04    1.0242359619E+03    7.7026031386E-11    2.8011914255E-16    1.5385769612E-01
    1.9577500000E+03    9.5802697754E+02    2.1134196535E-04    7.1165424627E-14    3.5269660156E+04    9.5802679443E+02    8.8243239105E-11    2.8011914255E-16    1.5385769612E-01
    1.9700000000E+03    9.8412829590E+02    2.1134196535E-04    7.2496242137E-14    7.6554121094E+03    9.8412811279E+02    1.1072304879E-10    2.8011914255E-16    1.5385769612E-01
    1.9822500000E+03    4.5006689453E+02    2.1134196535E-04    7.3842380778E-14    3.1782908203E+04    4.5006671143E+02    6.1685746788E-11    2.8011914255E-16    1.5385769612E-01
    1.9945000000E+03    7.2060986328E+02    2.1134196535E-04    7.5203908313E-14    2.1936384766E+04    7.2060968018E+02    1.2000252181E-10    2.8011914255E-16    1.5385769612E-01
    2.0067500000E+03    1.2480637207E+03    2.1134196535E-04    7.6580906059E-14    5.9279625000E+04    1.2480635986E+03    2.5187876784E-10    2.8011914255E-16    1.5385769612E-01
    2.0190000000E+03    9.9724029541E+02    2.1134196535E-04    7.7973448553E-14    8.3895914062E+04    9.9724011230E+02    2.4328894455E-10    2.8011914255E-16    1.5385769612E-01
    2.0312500000E+03    1.2823830566E+03    2.1134196535E-04    7.9381610335E-14    4.4053597656E+04    1.2823829346E+03    3.7725217394E-10    2.8011914255E-16    1.5385769612E-01
    2.0435000000E+03    1.2279310303E+03    2.1134196535E-04    8.0535946835E-14    2.3753148438E+04    1.2279307861E+03    4.3453299292E-10    2.8011914255E-16    1.5385769612E-01
    2.0557500000E+03    1.1857893066E+03    2.1134196535E-04    8.1969445066E-14    3.5501816406E+04    1.1857890625E+03    5.0356324666E-10    2.8011914255E-16    1.5385769612E-01
    2.0680000000E+03    8.4422778320E+02    2.1134196535E-04    8.3418711663E-14    1.1592557617E+04    8.4422760010E+02    4.2922565502E-10    2.8011914255E-16    1.5385769612E-01
    2.0802500000E+03    6.3018164062E+02    2.1134196535E-04    7.7710942878E-14    3.3228942871E+03    6.3018145752E+02    3.8271164016E-10    2.8011914255E-16    1.5385769612E-01
    2.0925000000E+03    1.0377083740E+03    2.1134196535E-04    7.9095441947E-14    2.0490562500E+04    1.0377081299E+03    7.5106848518E-10    2.8011914255E-16    1.5385769612E-01
    2.1047500000E+03    1.1398223877E+03    2.1134196535E-04    8.0496292141E-14    1.2742617188E+04    1.1398222656E+03    9.8101515800E-10    2.8011914255E-16    1.5385769612E-01
    2.1170000000E+03    1.2363162842E+03    2.1134196535E-04    8.1913595102E-14    1.8446375732E+03    1.2363160400E+03    1.2625704926E-09    2.8011914255E-16    1.5385769612E-01
    2.1292500000E+03    1.2624587402E+03    2.1134196535E-04    8.3347432146E-14    1.2261625781E+05    1.2624584961E+03    1.5265141373E-09    2.8011914255E-16    1.5385769612E-01
    2.1415000000E+03    8.0906005859E+02    2.1134196535E-04    8.4797918470E-14    1.3404778125E+05    8.0905987549E+02    1.1558684010E-09    2.8011914255E-16    1.5385769612E-01
    2.1537500000E+03    8.1244592285E+02    2.1134196535E-04    8.6265135389E-14    2.0305564453E+04    8.1244573975E+02    1.3685750311E-09    2.8011914255E-16    1.5385769612E-01
    2.1660000000E+03    1.1618218994E+03    2.1134196535E-04    8.7749184546E-14    8.5809970703E+03    1.1618217773E+03    2.3029180785E-09    2.8011914255E-16    1.5385769612E-01
    2.1782500000E+03    1.0707445068E+03    2.1134196535E-04    8.9250160810E-14    1.3077668945E+04    1.0707443848E+03    2.4924300401E-09    2.8011914255E-16    1.5385769612E-01
    2.1905000000E+03    1.0094819336E+03    2.1134196535E-04    9.0768159048E-14    1.1225152344E+04    1.0094817505E+03    2.7541167125E-09    2.8011914255E-16    1.5385769612E-01
    2.2027500000E+03    7.4307818604E+02    2.1134196535E-04    9.2303280904E-14    2.5444365234E+03    7.4307800293E+02    2.3715269748E-09    2.8011914255E-16    1.5385769612E-01
    2.2150000000E+03    7.8994213867E+02    2.1134196535E-04    9.3855621246E-14    5.3608999023E+03    7.8994195557E+02    2.9435809346E-09    2.8011914255E-16    1.5385769612E-01
    2.2272500000E+03    2.1159014893E+02    2.1134196535E-04    9.5425261388E-14    2.7764111328E+03    2.1158993530E+02    9.1887059073E-10    2.8011914255E-16    1.5385769612E-01
    2.2395000000E+03    4.6286434937E+02    2.1134196535E-04    9.7012316529E-14    4.6738653564E+02    4.6286413574E+02    2.3382797920E-09    2.8011914255E-16    1.5385769612E-01
    2.2517500000E+03    4.5560598755E+02    2.1134196535E-04    9.8616874757E-14    1.3622642822E+03    4.5560580444E+02    2.6726012514E-09    2.8011914255E-16    1.5385769612E-01
    2.2640000000E+03    5.6757617188E+02    2.1134196535E-04    1.0023903772E-13    3.8265541992E+03    5.6757598877E+02    3.8592453677E-09    2.8011914255E-16    1.5385769612E-01
    2.2762500000E+03    8.4974072266E+02    2.1134196535E-04    1.0187887995E-13    4.6669145508E+03    8.4974053955E+02    6.6856324921E-09    2.8011914255E-16    1.5385769612E-01
    2.2885000000E+03    6.1202856445E+02    2.1134196535E-04    1.0353653021E-13    8.0865991211E+02    6.1202838135E+02    5.5624003181E-09    2.8011914255E-16    1.5385769612E-01
    2.3007500000E+03    9.6580541992E+02    2.1134196535E-04    1.0521206302E-13    1.6360018555E+04    9.6580523682E+02    1.0122407801E-08    2.8011914255E-16    1.5385769612E-01
    2.3130000000E+03    5.4642163086E+02    2.1134196535E-04    1.0688076536E-13    4.4061398438E+04    5.4642144775E+02    6.5933565274E-09    2.8011914255E-16    1.5385769612E-01
    2.3252500000E+03    7.4113989258E+02    2.1134196535E-04    1.0859251053E-13    8.4969453125E+04    7.4113964844E+02    1.0279125107E-08    2.8011914255E-16    1.5385769612E-01
