#     wavelength(A)    kappa_tot (cm2/g)     kappa_es (cm2/g)   kappa_bf+ff (cm2/g)      dummy          kappa_bb (cm2/g)        dummy               rho                 v/c              
# t = 2.5 days
    1.5657500000E+03    7.9065649414E+02    4.5736134276E-03    5.7460894775E+02    7.7626110840E+02    2.1604296875E+02    5.0461995602E-01    3.1429883839E-15    1.5385769612E-01
    1.5780000000E+03    3.6136340332E+02    4.5736134276E-03    1.2635138491E-09    6.2757734375E+03    3.6135882568E+02    2.5511780381E-01    3.1429883839E-15    1.5385769612E-01
    1.5902500000E+03    2.6064929199E+02    4.5736134276E-03    1.3045818870E-09    1.4771495361E+03    2.6064474487E+02    2.0317272842E-01    3.1429883839E-15    1.5385769612E-01
    1.6025000000E+03    2.9844140625E+02    4.5736134276E-03    1.3465372151E-09    1.0947493164E+04    2.9843679810E+02    2.5638592243E-01    3.1429883839E-15    1.5385769612E-01
    1.6147500000E+03    2.1566856384E+02    4.5736134276E-03    1.3893861617E-09    1.4267925781E+04    2.1566400146E+02    2.0383314788E-01    3.1429883839E-15    1.5385769612E-01
    1.6270000000E+03    2.6675704956E+02    4.5736134276E-03    1.4331341669E-09    8.8582451172E+03    2.6675247192E+02    2.7689135075E-01    3.1429883839E-15    1.5385769612E-01
    1.6392500000E+03    3.5314596558E+02    4.5736134276E-03    1.4777868929E-09    4.9264194336E+03    3.5314135742E+02    4.0190145373E-01    3.1429883839E-15    1.5385769612E-01
    1.6515000000E+03    3.8877801514E+02    4.5736134276E-03    1.5233498907E-09    2.0715908203E+03    3.8877343750E+02    4.8430743814E-01    3.1429883839E-15    1.5385769612E-01
    1.6637500000E+03    2.8640267944E+02    4.5736134276E-03    1.5698287115E-09    3.9199575806E+02    2.8639810181E+02    3.8989588618E-01    3.1429883839E-15    1.5385769612E-01
    1.6760000000E+03    2.5382865906E+02    4.5736134276E-03    1.6172284623E-09    7.2012451172E+02    2.5382408142E+02    3.7703523040E-01    3.1429883839E-15    1.5385769612E-01
    1.6882500000E+03    2.3606565857E+02    4.5736134276E-03    1.6655544721E-09    7.7235467529E+02    2.3606109619E+02    3.8201153278E-01    3.1429883839E-15    1.5385769612E-01
    1.7005000000E+03    3.4127694702E+02    4.5736134276E-03    1.7148116260E-09    1.7545581055E+03    3.4127236938E+02    6.0076403618E-01    3.1429883839E-15    1.5385769612E-01
    1.7127500000E+03    2.0547389221E+02    4.5736134276E-03    1.7650049200E-09    1.9648474121E+03    2.0546931458E+02    3.9288285375E-01    3.1429883839E-15    1.5385769612E-01
    1.7250000000E+03    2.3226443481E+02    4.5736134276E-03    1.8161393500E-09    3.7240240479E+02    2.3225987244E+02    4.8170438409E-01    3.1429883839E-15    1.5385769612E-01
    1.7372500000E+03    2.2736340332E+02    4.5736134276E-03    1.8682195790E-09    1.3570768738E+02    2.2735882568E+02    5.1073974371E-01    3.1429883839E-15    1.5385769612E-01
    1.7495000000E+03    1.8804319763E+02    4.5736134276E-03    1.9212500479E-09    3.7700634766E+03    1.8803862000E+02    4.5689973235E-01    3.1429883839E-15    1.5385769612E-01
    1.7617500000E+03    2.0975004578E+02    4.5736134276E-03    1.9752357527E-09    1.1813212891E+03    2.0974548340E+02    5.5051648617E-01    3.1429883839E-15    1.5385769612E-01
    1.7740000000E+03    2.4694148254E+02    4.5736134276E-03    2.0301806902E-09    4.1928384399E+02    2.4693690491E+02    6.9919496775E-01    3.1429883839E-15    1.5385769612E-01
    1.7862500000E+03    1.4583032227E+02    4.5736134276E-03    2.0860893013E-09    1.6396322632E+02    1.4582574463E+02    4.4486090541E-01    3.1429883839E-15    1.5385769612E-01
    1.7985000000E+03    1.4424459839E+02    4.5736134276E-03    2.1429660269E-09    6.8344018555E+02    1.4424002075E+02    4.7348788381E-01    3.1429883839E-15    1.5385769612E-01
    1.8107500000E+03    1.8897471619E+02    4.5736134276E-03    2.2008144196E-09    9.1107946777E+02    1.8897015381E+02    6.6667848825E-01    3.1429883839E-15    1.5385769612E-01
    1.8230000000E+03    1.2589859009E+02    4.5736134276E-03    2.2596391425E-09    1.7921713257E+02    1.2589402008E+02    4.7676789761E-01    3.1429883839E-15    1.5385769612E-01
    1.8352500000E+03    1.5357691956E+02    4.5736134276E-03    2.3194435261E-09    5.5468254089E+01    1.5357235718E+02    6.2356728315E-01    3.1429883839E-15    1.5385769612E-01
    1.8475000000E+03    1.4494905090E+02    4.5736134276E-03    2.3802317894E-09    4.0148529053E+01    1.4494448853E+02    6.3029062748E-01    3.1429883839E-15    1.5385769612E-01
    1.8597500000E+03    1.1573916626E+02    4.5736134276E-03    2.4420077072E-09    3.8501506805E+01    1.1573459625E+02    5.3837180138E-01    3.1429883839E-15    1.5385769612E-01
    1.8720000000E+03    2.6144079590E+02    4.5736134276E-03    2.5047743879E-09    1.3132328796E+02    2.6143621826E+02    1.2995295525E+00    3.1429883839E-15    1.5385769612E-01
    1.8842500000E+03    1.9571994019E+02    4.5736134276E-03    2.5685360505E-09    6.0393745422E+01    1.9571537781E+02    1.0384316444E+00    3.1429883839E-15    1.5385769612E-01
    1.8965000000E+03    1.5502679443E+02    4.5736134276E-03    2.6332958036E-09    1.1314978027E+02    1.5502221680E+02    8.7704229355E-01    3.1429883839E-15    1.5385769612E-01
    1.9087500000E+03    2.1447277832E+02    4.5736134276E-03    2.6990567559E-09    2.6725207520E+02    2.1446821594E+02    1.2924494743E+00    3.1429883839E-15    1.5385769612E-01
    1.9210000000E+03    2.4425224304E+02    4.5736134276E-03    2.7658229040E-09    3.7450900269E+02    2.4424768066E+02    1.5662635565E+00    3.1429883839E-15    1.5385769612E-01
    1.9332500000E+03    1.6909556580E+02    4.5736134276E-03    2.8335962465E-09    1.5712162781E+02    1.6909098816E+02    1.1526761055E+00    3.1429883839E-15    1.5385769612E-01
    1.9455000000E+03    1.1705066681E+02    4.5736134276E-03    2.9023810022E-09    1.5760256958E+02    1.1704609680E+02    8.4737086296E-01    3.1429883839E-15    1.5385769612E-01
