Time 	 	 Temperature 	 	 Tau 
0.1 	 	 214418 	 	 	 90883 
0.1 	 	 182924 	 	 	 66724.9 
0.1 	 	 179125 	 	 	 65576.1 
0.1 	 	 85664.3 	 	 	 3061.01 
0.1 	 	 74248.3 	 	 	 648.673 
0.1 	 	 43120.7 	 	 	 201.205 
0.1 	 	 58921.9 	 	 	 560.884 
0.1 	 	 64210.6 	 	 	 773.097 
0.1 	 	 161116 	 	 	 21994 
0.1 	 	 39729.9 	 	 	 151.895 
0.1 	 	 201782 	 	 	 84198.3 
0.1 	 	 91758.8 	 	 	 3086.98 
0.1 	 	 48125.7 	 	 	 178.23 
0.1 	 	 104476 	 	 	 6257.88 
0.1 	 	 45230.6 	 	 	 94.4173 
0.1 	 	 73677.5 	 	 	 1213.69 
0.1 	 	 152192 	 	 	 34278.2 
0.1 	 	 107126 	 	 	 4170.57 
0.1 	 	 116875 	 	 	 6798.07 
0.1 	 	 37159.9 	 	 	 74.5312 
0.1 	 	 182924 	 	 	 62875.5 
0.1 	 	 86663.4 	 	 	 3140.5 
0.1 	 	 191508 	 	 	 38874 
0.1 	 	 84012.8 	 	 	 3118.94 
0.1 	 	 38043.4 	 	 	 20.5571 
0.1 	 	 43686.7 	 	 	 188.959 
0.1 	 	 45468 	 	 	 117.173 
0.1 	 	 51346.7 	 	 	 88.5627 
0.1 	 	 221946 	 	 	 110800 
0.1 	 	 50511.3 	 	 	 272.067 
0.1 	 	 221946 	 	 	 105201 
0.1 	 	 40966.4 	 	 	 120.787 
0.1 	 	 166372 	 	 	 32243.3 
0.1 	 	 66091.6 	 	 	 968.188 
0.1 	 	 179125 	 	 	 43576.2 
0.1 	 	 40056.3 	 	 	 155.418 
0.1 	 	 66863.5 	 	 	 920.442 
0.1 	 	 66667.5 	 	 	 547.369 
0.1 	 	 191508 	 	 	 49230.2 
0.1 	 	 80055.5 	 	 	 642.64 
0.1 	 	 103481 	 	 	 4896.17 
0.1 	 	 55733.1 	 	 	 426.344 
